lat,lon,flood_height,elevation,precipitation,in_zone,hazard_code,hazard_level,proximity_m
14.657676,121.035904,3.0,41.9643096924,9.0,True,2,Medium (>0.5–1.5m),0.0
14.630303,121.000458,3.0,17.204366684,8.0,True,1,Low (0–0.5m),0.0
14.608069,121.101326,3.0,11.5484209061,12.0,True,2,Medium (>0.5–1.5m),0.0
14.54187,121.019562,3.0,13.2589082718,7.0,True,2,Medium (>0.5–1.5m),0.0
14.540988,121.018425,3.0,12.7976760864,7.0,True,3,High (>1.5m),0.0
14.536688,121.020798,3.0,13.4986066818,7.0,True,2,Medium (>0.5–1.5m),0.0
14.490198,121.027107,3.0,16.8518791199,7.0,False,1,Low (0–0.5m),76.1065612161304
14.534061,121.014938,3.0,8.77026939392,7.0,False,1,Low (0–0.5m),13.219717575829014
14.630557,121.000267,3.0,17.204366684,8.0,False,1,Low (0–0.5m),4.512572170197547
14.692834,120.951218,3.0,4.20873451233,9.0,False,1,Low (0–0.5m),2.3517392938398483
14.623996,121.089867,3.0,10.1174602509,11.0,False,1,Low (0–0.5m),19.917353672368645
14.601712,121.005219,3.0,7.80500173569,8.0,True,2,Medium (>0.5–1.5m),0.0
14.484921,121.031723,3.0,20.3697757721,7.0,True,2,Medium (>0.5–1.5m),0.0
14.482283,121.030708,3.0,22.1338119507,7.0,True,1,Low (0–0.5m),0.0
14.486625,121.02729,3.0,18.7317123413,7.0,False,1,Low (0–0.5m),0.5923058350928662
14.48997,121.018448,3.0,13.6489992142,7.0,True,2,Medium (>0.5–1.5m),0.0
14.552141,121.014618,3.0,9.91040420532,7.0,False,1,Low (0–0.5m),24.59372471511361
14.55941,121.010925,3.0,13.569943428,7.0,False,1,Low (0–0.5m),53.97316550234361
14.550687,121.028778,3.0,28.6435527802,7.0,False,1,Low (0–0.5m),24.496189326472674
14.541673,121.0196,3.0,13.2589082718,7.0,True,2,Medium (>0.5–1.5m),0.0
14.683903,121.035347,3.0,46.9419364929,10.0,False,1,Low (0–0.5m),10.986880716994289
14.465259,121.011177,3.0,14.0912799835,7.0,True,1,Low (0–0.5m),0.0
14.386215,121.05056,3.0,10.0835390091,11.0,True,2,Medium (>0.5–1.5m),0.0
14.384968,121.051308,3.0,7.4175825119,11.0,False,1,Low (0–0.5m),8.798526578006614
14.390538,121.051033,3.0,7.16105747223,11.0,False,1,Low (0–0.5m),12.607783141745879
14.391162,121.050964,3.0,6.81852912903,11.0,False,1,Low (0–0.5m),20.50267662462335
14.388148,121.051056,3.0,4.85603475571,11.0,False,1,Low (0–0.5m),11.029998338258197
